File,Condition,Power,Frequency
110001,encoding,29.7115027976967,11.926
110001,er,30.769453037099,13
110001,lr,30.004398814114,13
110001,response,28.8542157843796,11.926
110002,encoding,28.2577310091275,11.926
110002,er,27.5245021023891,11.926
110002,lr,28.4108512906167,9.207
110002,response,28.4879436626884,9.207
110003,encoding,31.4413389736053,10.036
110003,er,31.4436869619522,10.036
110003,lr,31.5574809114364,10.036
110003,response,31.1178899866758,10.036
110004,encoding,29.5774671248632,9.207
110004,er,30.550086024857,13
110004,lr,29.6306479300017,11.926
110004,response,29.6451498060771,9.207
110005,encoding,28.2270898139189,11.926
110005,er,30.3086334547244,10.94
110005,lr,31.1894738466876,10.94
110005,response,28.9545991998582,10.036
110006,encoding,31.0287208580724,9.207
110006,er,31.4036572538394,10.94
110006,lr,31.1135520381412,10.036
110006,response,30.879583068439,9.207
110007,encoding,29.7551218725782,9.207
110007,er,29.8412451672322,13
110007,lr,29.9315200111269,11.926
110007,response,30.5520366172605,9.207
110008,encoding,28.6045392486883,9.207
110008,er,29.0959970369013,10.94
110008,lr,30.0737805961943,10.036
110008,response,28.3288848023797,9.207
110009,encoding,29.2312539897452,11.926
110009,er,30.7695315504183,11.926
110009,lr,29.3087225624145,10.036
110009,response,29.4348073473094,10.036
110010,encoding,31.3945425835868,10.94
110010,er,29.9638849003439,13
110010,lr,30.2481239919648,10.94
110010,response,30.6931965605275,10.94
110011,encoding,27.9745565239698,9.207
110011,er,28.7242022949308,9.207
110011,lr,28.4141662673925,10.036
110011,response,27.0819296469032,10.94
110012,encoding,30.7286179182591,10.036
110012,er,30.4826294154491,10.94
110012,lr,31.2523499281389,10.036
110012,response,30.6083492572272,9.207
110013,encoding,30.7031004692615,10.94
110013,er,32.511595037122,11.926
110013,lr,31.7453353813639,11.926
110013,response,30.3065547069943,11.926
110014,encoding,28.2876390718464,11.926
110014,er,30.4497424490055,10.94
110014,lr,30.584486647593,10.94
110014,response,28.9239652337289,9.207
110015,encoding,29.7307545442187,9.207
110015,er,29.2615394902044,10.94
110015,lr,30.097118262632,10.94
110015,response,29.7260925730821,9.207
110016,encoding,28.2882774882059,9.207
110016,er,28.8959908284129,10.94
110016,lr,28.8269401774606,9.207
110016,response,28.7882303558829,9.207
110017,encoding,23.9834669880102,9.207
110017,er,21.8246188862611,13
110017,lr,20.8269439829364,9.207
110017,response,21.9696434137867,13
110018,encoding,28.8120863978628,9.207
110018,er,30.7348520969512,10.94
110018,lr,30.252753016778,10.94
110018,response,28.7029667553468,9.207
110019,encoding,29.0239048143248,10.94
110019,er,29.7465061568725,11.926
110019,lr,29.2550328550415,10.94
110019,response,28.9459721222734,9.207
110020,encoding,27.3733349743075,9.207
110020,er,27.353197453172,9.207
110020,lr,29.2368269765816,10.036
110020,response,27.9929831696816,9.207
110021,encoding,30.3185122660839,9.207
110021,er,30.0436429650115,9.207
110021,lr,29.2955596985929,9.207
110021,response,29.7982719951186,9.207
110022,encoding,31.6259392873889,10.94
110022,er,31.2492096090902,10.94
110022,lr,30.6267988415925,10.94
110022,response,30.0786492136082,10.94
110023,encoding,30.302348038027,10.036
110023,er,29.9650151412097,10.036
110023,lr,29.2809591250397,10.94
110023,response,30.0036723205603,10.036
110024,encoding,28.4399097038623,9.207
110024,er,27.0604795575897,10.94
110024,lr,26.248202722338,9.207
110024,response,28.2968577147368,9.207
110025,encoding,27.6992364821812,9.207
110025,er,25.9305800815452,10.94
110025,lr,26.3068439542686,9.207
110025,response,26.6072809488379,9.207
110026,encoding,25.4088672139068,9.207
110026,er,26.7962101288978,11.926
110026,lr,25.956144819022,11.926
110026,response,25.5472843727226,9.207
110027,encoding,31.2551135421533,10.036
110027,er,31.0802159559167,10.036
110027,lr,30.5172774340596,9.207
110027,response,30.0793257419826,10.036
110028,encoding,30.8713272402099,10.036
110028,er,30.3095977509344,10.036
110028,lr,30.2944354143124,10.036
110028,response,30.0772324781492,10.036
110029,encoding,28.7988518194481,9.207
110029,er,27.8290255723837,9.207
110029,lr,27.5334796248895,9.207
110029,response,29.060872976675,9.207
110030,encoding,29.4411087033834,9.207
110030,er,28.5862399557646,9.207
110030,lr,28.9274756197999,9.207
110030,response,29.8764384049422,9.207
110031,encoding,29.7162422063007,9.207
110031,er,30.5876857055023,11.926
110031,lr,29.465498954411,9.207
110031,response,30.0134593600074,10.036
110032,encoding,28.7993502892512,9.207
110032,er,29.2147978619252,10.94
110032,lr,29.5200601942328,11.926
110032,response,28.9182251926398,9.207
110033,encoding,29.548340589761,10.94
110033,er,31.0533106454521,13
110033,lr,29.869202558931,11.926
110033,response,29.6591550454912,9.207
110034,encoding,30.3502634902885,10.94
110034,er,30.4308166503519,11.926
110034,lr,30.0576767896979,11.926
110034,response,29.6486642287223,11.926
110035,encoding,30.3673005147682,10.036
110035,er,29.8448524434971,10.94
110035,lr,29.7063090786172,10.036
110035,response,29.2511306534387,10.036
110036,encoding,28.9345377077454,9.207
110036,er,27.0990153010244,9.207
110036,lr,26.6167298951739,9.207
110036,response,27.4220971311754,9.207
