File,Condition,Power,Frequency
110001,encoding,28.049564441551,5.034
110001,er,27.9542747151232,8.446
110001,lr,26.3606910258518,5.981
110001,response,28.4441244935178,6.52
110002,encoding,28.0580548937729,8.446
110002,er,27.3461191150584,5.487
110002,lr,28.3646246373328,8.446
110002,response,28.9117944850722,8.446
110003,encoding,30.0291524143922,8.446
110003,er,30.7496722888183,8.446
110003,lr,30.7638219370578,8.446
110003,response,30.3920619974173,8.446
110004,encoding,30.3016617688733,5.487
110004,er,29.662938859915,5.034
110004,lr,29.5306473677177,7.108
110004,response,30.1226229942555,7.748
110005,encoding,28.1900736684743,8.446
110005,er,28.0193986610243,8.446
110005,lr,28.2197485550609,8.446
110005,response,27.9039116415672,6.52
110006,encoding,31.0460797491064,8.446
110006,er,31.1717738307009,7.748
110006,lr,31.1666192431835,7.108
110006,response,31.2015150793478,7.748
110007,encoding,30.1570007518017,5.981
110007,er,29.8626899246511,8.446
110007,lr,29.5481397838657,6.52
110007,response,30.9604405865868,7.108
110008,encoding,28.8779628701437,4.618
110008,er,27.9365545706794,8.446
110008,lr,29.132054946584,8.446
110008,response,29.2812936875165,5.981
110009,encoding,29.7269774989022,5.981
110009,er,29.1864171458045,8.446
110009,lr,28.9179674583697,8.446
110009,response,29.0401701530755,8.446
110010,encoding,29.7878325125783,8.446
110010,er,29.3562752939856,5.487
110010,lr,29.4567594064028,7.748
110010,response,30.2203069451667,8.446
110011,encoding,27.7158187324987,8.446
110011,er,30.0521466704742,3.565
110011,lr,28.7020827288042,7.108
110011,response,27.8566094586484,3.886
110012,encoding,30.3443825337404,8.446
110012,er,29.5467367854957,8.446
110012,lr,30.3237113703476,3
110012,response,30.4006991666574,8.446
110013,encoding,29.386900155545,8.446
110013,er,29.8445975236738,8.446
110013,lr,29.1523955401322,8.446
110013,response,28.8704378741227,8.446
110014,encoding,30.0795032436137,4.236
110014,er,29.5372052796461,3.886
110014,lr,29.794785699174,6.52
110014,response,30.443915955437,5.981
110015,encoding,30.1127526364413,7.748
110015,er,29.3880440833093,3
110015,lr,28.5653217253549,8.446
110015,response,30.1669209911326,7.748
110016,encoding,29.4700829804382,6.52
110016,er,28.3813767617853,8.446
110016,lr,28.8739754226631,7.748
110016,response,29.0759818883481,7.748
110017,encoding,27.1984079461223,3.886
110017,er,27.0175457069196,3
110017,lr,26.9574008497301,3
110017,response,26.7507843256552,4.236
110018,encoding,29.4901103401609,3.886
110018,er,28.956746023486,3.565
110018,lr,28.2542608010442,3.27
110018,response,29.2184738414161,7.108
110019,encoding,29.7445474665841,7.108
110019,er,28.220275789372,4.618
110019,lr,28.5414977095459,7.108
110019,response,29.7244100557634,7.748
110020,encoding,29.7239619920537,5.981
110020,er,28.7115295424766,7.748
110020,lr,27.6199209792033,8.446
110020,response,28.7183862707733,7.108
110021,encoding,30.2577601211287,3.886
110021,er,30.0887744666487,8.446
110021,lr,29.7004761950222,8.446
110021,response,30.5837294932187,7.108
110022,encoding,30.1789122553488,8.446
110022,er,29.7470512988925,8.446
110022,lr,29.5701240882452,8.446
110022,response,29.5254902802628,7.108
110023,encoding,29.9594362455919,8.446
110023,er,28.6027889471753,8.446
110023,lr,28.4520523502491,8.446
110023,response,30.2254646786401,7.748
110024,encoding,30.8681671265356,4.236
110024,er,28.9229480863752,3
110024,lr,28.9424992265492,5.981
110024,response,30.4355835132378,5.981
110025,encoding,28.6104141568927,3.27
110025,er,27.7959039002847,3
110025,lr,27.6995982932447,3.27
110025,response,28.4462098731603,3.27
110026,encoding,26.2943628085223,3.565
110026,er,26.591977258708,3.886
110026,lr,26.1579836244562,3.886
110026,response,26.3993014812285,3.886
110027,encoding,31.0484568219088,8.446
110027,er,30.0660732941406,8.446
110027,lr,30.4481621640566,8.446
110027,response,29.8185986803447,8.446
110028,encoding,30.1655214013771,8.446
110028,er,29.4755529492049,5.034
110028,lr,29.7396289706401,8.446
110028,response,29.2715196959197,8.446
110029,encoding,29.5819130221534,5.981
110029,er,29.0505619903622,3
110029,lr,28.2724870932689,7.748
110029,response,30.5597018593762,7.108
110030,encoding,29.8920673933163,7.748
110030,er,30.0047306881064,3.886
110030,lr,29.9420154948128,3.886
110030,response,30.5474293807755,7.108
110031,encoding,29.556287398963,8.446
110031,er,29.2448294497266,8.446
110031,lr,29.2278529537357,8.446
110031,response,29.3960080946317,8.446
110032,encoding,29.9433618876824,7.108
110032,er,29.7866293187983,6.52
110032,lr,29.6569756957469,6.52
110032,response,30.129163939797,7.108
110033,encoding,29.8102871774176,7.748
110033,er,29.5483216727942,7.108
110033,lr,28.7267033382084,7.108
110033,response,30.4434324591152,7.108
110034,encoding,29.9899698175529,8.446
110034,er,29.270836225437,8.446
110034,lr,29.305066961502,8.446
110034,response,28.972720616917,8.446
110035,encoding,30.1288525666696,8.446
110035,er,29.2621770629173,5.487
110035,lr,28.5529432884734,3
110035,response,29.541593385761,7.108
110036,encoding,29.1437253217258,4.236
110036,er,28.0046292083936,3.886
110036,lr,27.5402334053922,5.981
110036,response,28.5440437525171,5.487
