"File","Condition","Power","Frequency"
"111","encoding",28.049564441551,5.034
"111","er",27.9542747151232,8.446
"111","lr",26.3606910258518,5.981
"111","retr",28.4441244935178,6.52
"112","encoding",28.0580548937729,8.446
"112","er",27.3461191150584,5.487
"112","lr",28.3646246373328,8.446
"112","retr",28.9117944850722,8.446
"113","encoding",30.0291524143922,8.446
"113","er",30.7496722888183,8.446
"113","lr",30.7638219370578,8.446
"113","retr",30.3920619974173,8.446
"135","encoding",30.3016617688733,5.487
"135","er",29.662938859915,5.034
"135","lr",29.5306473677177,7.108
"135","retr",30.1226229942555,7.748
"192","encoding",28.1900736684743,8.446
"192","er",28.0193986610243,8.446
"192","lr",28.2197485550609,8.446
"192","retr",27.9039116415672,6.52
"203","encoding",31.0460797491064,8.446
"203","er",31.1717738307009,7.748
"203","lr",31.1666192431835,7.108
"203","retr",31.2015150793478,7.748
"213","encoding",30.1570007518017,5.981
"213","er",29.8626899246511,8.446
"213","lr",29.5481397838657,6.52
"213","retr",30.9604405865868,7.108
"218","encoding",28.8779628701437,4.618
"218","er",27.9365545706794,8.446
"218","lr",29.132054946584,8.446
"218","retr",29.2812936875165,5.981
"252","encoding",29.7269774989022,5.981
"252","er",29.1864171458045,8.446
"252","lr",28.9179674583697,8.446
"252","retr",29.0401701530755,8.446
"298","encoding",29.7878325125783,8.446
"298","er",29.3562752939856,5.487
"298","lr",29.4567594064028,7.748
"298","retr",30.2203069451667,8.446
"315","encoding",27.7158187324987,8.446
"315","er",30.0521466704742,3.565
"315","lr",28.7020827288042,7.108
"315","retr",27.8566094586484,3.886
"316","encoding",30.3443825337404,8.446
"316","er",29.5467367854957,8.446
"316","lr",30.3237113703476,3
"316","retr",30.4006991666574,8.446
"323","encoding",29.386900155545,8.446
"323","er",29.8445975236738,8.446
"323","lr",29.1523955401322,8.446
"323","retr",28.8704378741227,8.446
"353","encoding",30.0795032436137,4.236
"353","er",29.5372052796461,3.886
"353","lr",29.794785699174,6.52
"353","retr",30.443915955437,5.981
"362","encoding",30.1127526364413,7.748
"362","er",29.3880440833093,3
"362","lr",28.5653217253549,8.446
"362","retr",30.1669209911326,7.748
"372","encoding",29.4700829804382,6.52
"372","er",28.3813767617853,8.446
"372","lr",28.8739754226631,7.748
"372","retr",29.0759818883481,7.748
"385","encoding",27.1984079461223,3.886
"385","er",27.0175457069196,3
"385","lr",26.9574008497301,3
"385","retr",26.7507843256552,4.236
"404","encoding",29.4901103401609,3.886
"404","er",28.956746023486,3.565
"404","lr",28.2542608010442,3.27
"404","retr",29.2184738414161,7.108
"455","encoding",29.7445474665841,7.108
"455","er",28.220275789372,4.618
"455","lr",28.5414977095459,7.108
"455","retr",29.7244100557634,7.748
"468","encoding",29.7239619920537,5.981
"468","er",28.7115295424766,7.748
"468","lr",27.6199209792033,8.446
"468","retr",28.7183862707733,7.108
"505","encoding",30.2577601211287,3.886
"505","er",30.0887744666487,8.446
"505","lr",29.7004761950222,8.446
"505","retr",30.5837294932187,7.108
"537","encoding",30.1789122553488,8.446
"537","er",29.7470512988925,8.446
"537","lr",29.5701240882452,8.446
"537","retr",29.5254902802628,7.108
"547","encoding",29.9594362455919,8.446
"547","er",28.6027889471753,8.446
"547","lr",28.4520523502491,8.446
"547","retr",30.2254646786401,7.748
"576","encoding",30.8681671265356,4.236
"576","er",28.9229480863752,3
"576","lr",28.9424992265492,5.981
"576","retr",30.4355835132378,5.981
"583","encoding",28.6104141568927,3.27
"583","er",27.7959039002847,3
"583","lr",27.6995982932447,3.27
"583","retr",28.4462098731603,3.27
"637","encoding",26.2943628085223,3.565
"637","er",26.591977258708,3.886
"637","lr",26.1579836244562,3.886
"637","retr",26.3993014812285,3.886
"674","encoding",31.0484568219088,8.446
"674","er",30.0660732941406,8.446
"674","lr",30.4481621640566,8.446
"674","retr",29.8185986803447,8.446
"705","encoding",30.1655214013771,8.446
"705","er",29.4755529492049,5.034
"705","lr",29.7396289706401,8.446
"705","retr",29.2715196959197,8.446
"758","encoding",29.5819130221534,5.981
"758","er",29.0505619903622,3
"758","lr",28.2724870932689,7.748
"758","retr",30.5597018593762,7.108
"763","encoding",29.8920673933163,7.748
"763","er",30.0047306881064,3.886
"763","lr",29.9420154948128,3.886
"763","retr",30.5474293807755,7.108
"775","encoding",29.556287398963,8.446
"775","er",29.2448294497266,8.446
"775","lr",29.2278529537357,8.446
"775","retr",29.3960080946317,8.446
"836","encoding",29.9433618876824,7.108
"836","er",29.7866293187983,6.52
"836","lr",29.6569756957469,6.52
"836","retr",30.129163939797,7.108
"847","encoding",29.8102871774176,7.748
"847","er",29.5483216727942,7.108
"847","lr",28.7267033382084,7.108
"847","retr",30.4434324591152,7.108
"867","encoding",29.9899698175529,8.446
"867","er",29.270836225437,8.446
"867","lr",29.305066961502,8.446
"867","retr",28.972720616917,8.446
"922","encoding",30.1288525666696,8.446
"922","er",29.2621770629173,5.487
"922","lr",28.5529432884734,3
"922","retr",29.541593385761,7.108
"996","encoding",29.1437253217258,4.236
"996","er",28.0046292083936,3.886
"996","lr",27.5402334053922,5.981
"996","retr",28.5440437525171,5.487
